Ge,FR,Esd,Wtop,Wbottom,H,L,Nstop,Nch,cDir,sOri,Type,,Isat,Ilin,Strain_Impact,WF,Vdd,,SlFin,SwFin,ShFin,VtiWFd_100nA,VtiWFd_5nA,Vtgm,VtiLin,IdLin,SSlin,gmLin,IdSat,Ioff,VtiSat,SSSat,gmSat,IdLin_norm,IdSat_norm,Ioff_norm,Slope
0.5,0,0.0075,0.015,0.015,0.035,0.025,2E+018,2E+018,110,100,pMOS,,1,1,1,4.623,0.8,,-2262,508,490,-0.242,-0.134,-0.499,-0.462,9.524E-06,78.499,3.68E-05,2.675E-05,1.158E-11,-0.403,183.484,0.0001063,0.0001984,0.0005574,2.413E-10,0
0.5,0,0.0075,0.015,0.015,0.035,0.025,2E+018,2E+018,110,100,pMOS,,1,1,0,4.623,0.8,,-2262,508,490,-0.341,-0.227,-0.601,-0.577,3.451E-06,79.052,1.732E-05,8.182E-06,5.83E-12,-0.525,549.799,4.925E-05,7.189E-05,0.0001704,1.214E-10,0
