,,Ge,FR,Esd,Wtop,Wbottom,H,L,Nstop,Nch,cDir,sOri,Type,,,Isat,Ilin,Strain_Impact,WF,Vdd,,SlFin,SwFin,ShFin,SlFin_pt,SwFin_pt,ShFin_pt,SlFin_diff_pct,SlFin_pt2,SlFin_pt_conv_pct,VtiWFd_100nA,VtiWFd_5nA,Vtgm,VtiLin,IdLin,SSlin,gmLin,IdSat,Ioff,VtiSat,SSSat,gmSat,IdLin_norm,IdSat_norm,Ioff_norm,Slope
1,[n13]: --,[n12]: 0.6,[n11]: 0.00,[n10]: 0.0075,[n9]: 0.015,[n8]: 0.015,[n7]: 0.035,[n6]: 0.025,[n5]: 2e18,[n4]: 2.0e18,[n3]: 110,[n2]: 100,[n1]: pMOS,[n14]: --,[n21]: --,[n20]: 1,[n19]: 1,[n18]: 1,[n17]: 4.623,[n15]: 0.8,[n16]: --,-2730,530,609,-4193,443,-92,-53.6,-4222,-0.7,-0.228,-0.122,-0.483,-0.444,1.01E-05,77.424,3.77E-05,2.91E-05,1.95E-11,-0.388,247.66,1.11E-04,2.11E-04,6.06E-04,4.07E-10,0
6,,[n269]: 0.7,[n270]: 0.00,[n271]: 0.0075,[n272]: 0.015,[n273]: 0.015,[n274]: 0.035,[n275]: 0.025,[n276]: 2e18,[n277]: 2.0e18,[n278]: 110,[n279]: 100,[n280]: pMOS,[n281]: --,[n282]: --,[n283]: 1,[n284]: 1,[n285]: 1,[n286]: 4.623,[n287]: 0.8,[n288]: --,-3210,504,677,-4921,495,-57,-53.3,-4952,-0.6,-0.219,-0.111,-0.474,-0.432,1.05E-05,76.575,3.81E-05,3.04E-05,2.88E-11,-0.38,315.716,1.14E-04,2.18E-04,6.32E-04,6.01E-10,0
